Height(Inches),Weight(Pounds),Height in cm,Weight in kg,,,,,category
70.72786,134.2975,179.6486674,60.91639375,,180,,,180-
67.81233,134.3642,172.2432252,60.9466484,,170,,,170-
68.88371,130.2664,174.9645289,59.08791538,,170,,,170-
67.59685,128.0565,171.6959063,58.08552041,,170,,,170-
66.18908,129.8912,168.1201724,58.91772732,,170,,,170-
67.0619,122.516,170.337134,55.57238889,,170,,,170-
71.40566,142.8255,181.3702785,64.78463409,,180,,,180-
69.94381,144.2052,177.6571815,65.41045622,,180,,,180-
68.12088,129.3957,173.0269418,58.69297203,,170,,,170-
70.07833,132.5733,177.9988621,60.13430886,,180,,,180-
69.21921,138.4788,175.8166985,62.81300179,,180,,,180-
65.07625,120.4977,165.2935857,54.65690232,,170,,,170-
66.64317,86.982,169.2735604,39.45441845,,170,,,170-
69.09678,136.2561,175.5057264,61.80480083,,180,,,180-
67.29797,128.014,170.9367515,58.06624271,,170,,,170-
70.07962,138.1994,178.0021387,62.68626793,,180,,,180-
68.17719,128.9954,173.1699691,58.51139879,,170,,,170-
70.62613,147.3147,179.3902733,66.82090338,,180,,,180-
72.75675,155.6063,184.8020452,70.58191434,,180,,,180-
65.50945,114.2107,166.3939131,51.8051637,,170,,,170-
69.80503,118.0632,177.3046805,53.55263039,,180,,,180-
68.48037,122.2135,173.9400459,55.43517704,,170,,,170-
69.39191,132.1548,176.2553562,59.94448023,,180,,,180-
69.89743,132.8384,177.5393763,60.25455634,,180,,,180-
71.03366,120.7296,180.425399,54.76209052,,180,,,180-
64.18042,105.3415,163.0181788,47.78215747,,160,,,160-
67.25981,115.6019,170.8398251,52.43620216,,170,,,170-
69.88668,133.1821,177.5120713,60.41045622,,180,,,180-
68.77416,143.2226,174.6862721,64.96475583,,170,,,170-
70.75119,132.8196,179.7079256,60.24602879,,180,,,180-
69.77175,140.4321,177.2201493,63.69900482,,180,,,180-
66.47653,135.1056,168.850295,61.28294219,,170,,,170-
68.16365,127.6326,173.1355775,57.89324237,,170,,,170-
66.4353,134.5752,168.7455709,61.04235651,,170,,,170-
70.13482,122.9368,178.1423466,55.76326079,,180,,,180-
71.70658,136.632,182.1346148,61.9753064,,180,,,180-
66.92527,123.4431,169.990094,55.99291488,,170,,,170-
67.12563,123.5752,170.4990081,56.0528345,,170,,,170-
69.16564,125.887,175.6806307,57.10145059,,180,,,180-
68.8406,125.7733,174.8550296,57.04987708,,170,,,170-
70.75604,166.2812,179.7202446,75.42397329,,180,,,180-
71.42444,131.7763,181.4179796,59.77279531,,180,,,180-
69.45553,134.4084,176.4169509,60.96669721,,180,,,180-
67.59746,131.5971,171.6974557,59.69151146,,170,,,170-
69.20977,129.3553,175.7927209,58.67464688,,180,,,180-
68.55325,132.7205,174.125161,60.20107774,,170,,,170-
68.57877,120.9452,174.1899817,54.85988515,,170,,,170-
66.26275,100.455,168.3072941,45.56567572,,170,,,170-
65.96056,113.3895,167.5397319,51.4326732,,170,,,170-
69.5447,134.9309,176.6434426,61.2036995,,180,,,180-
69.03723,121.8168,175.3544695,55.25523673,,180,,,180-
70.25581,149.6514,178.449661,67.88081393,,180,,,180-
65.24262,118.8877,165.7161653,53.92661774,,170,,,170-
66.61174,123.9036,169.1937282,56.20179441,,170,,,170-
65.44916,129.4155,166.2407766,58.70195317,,170,,,170-
68.46313,115.2733,173.8962563,52.28715153,,170,,,170-
70.08288,130.4398,178.0104191,59.16656839,,180,,,180-
68.28223,134.7568,173.4367705,61.12472898,,170,,,170-
67.00556,125.5138,170.1940305,56.93216972,,170,,,170-
66.02293,109.5969,167.6981516,49.71237674,,170,,,170-
69.16478,135.6481,175.6784463,61.52901634,,180,,,180-
67.21577,131.9731,170.7279636,59.8620624,,170,,,170-
69.00086,135.9877,175.2620898,61.68305649,,180,,,180-
70.75525,135.7754,179.718238,61.58675872,,180,,,180-
69.25232,127.8223,175.9007978,57.97928895,,180,,,180-
67.57183,119.3432,171.6323555,54.13322931,,170,,,170-
67.67452,132.6705,171.893188,60.17839809,,170,,,170-
67.40515,124.2707,171.2089885,56.36830837,,170,,,170-
64.86031,100.9173,164.7450984,45.77537172,,160,,,160-
69.39033,112.2069,176.251343,50.89625423,,180,,,180-
65.9698,129.9153,167.5632015,58.92865891,,170,,,170-
67.55171,123.0908,171.5812507,55.8331141,,170,,,170-
68.46426,116.498,173.8991265,52.84266676,,170,,,170-
66.23821,104.1053,168.2449625,47.22142591,,170,,,170-
70.6257,119.2626,179.3891811,54.09666972,,180,,,180-
66.61423,116.9318,169.2000528,53.03943537,,170,,,170-
70.66932,148.9742,179.4999759,67.57364081,,180,,,180-
67.57132,119.5476,171.6310601,54.2259437,,170,,,170-
69.45353,117.3488,176.4118709,53.22858361,,180,,,180-
66.26159,125.5437,168.3043477,56.94573214,,170,,,170-
68.73293,124.2368,174.5815479,56.35293157,,170,,,170-
68.82534,133.8431,174.8162692,60.71028114,,170,,,170-
70.13099,131.2805,178.1326184,59.54790395,,180,,,180-
71.82375,146.9215,182.4322265,66.64255064,,180,,,180-
65.90074,103.4218,167.3877892,46.91139516,,170,,,170-
63.727,120.0775,161.8664926,54.46630258,,160,,,160-
66.99543,121.7611,170.1683003,55.22997161,,170,,,170-
67.3499,132.3056,171.0686536,60.01288204,,170,,,170-
67.16004,112.2736,170.5864095,50.92650888,,170,,,170-
70.5283,128.9156,179.1417853,58.47520208,,180,,,180-
68.45206,121.7201,173.8681385,55.2113743,,170,,,170-
66.09346,105.8554,167.8772977,48.01525887,,170,,,170-
64.7808,125.8367,164.5431431,57.07863487,,160,,,160-
68.29845,132.8929,173.4779693,60.27927715,,170,,,170-
66.31173,125.5959,168.4317032,56.96940969,,170,,,170-
64.36944,122.6652,163.4982893,55.64006495,,160,,,160-
69.23895,132.3741,175.866838,60.04395315,,180,,,180-
70.56453,122.723,179.2338094,55.66628262,,180,,,180-
63.44115,93.29146,161.140434,42.31634477,,160,,,160-
67.49847,113.1057,171.4460212,51.30394354,,170,,,170-
69.85577,118.0316,177.43356,53.53829685,,180,,,180-
69.07982,130.5538,175.4626481,59.21827798,,180,,,180-
69.56211,137.4123,176.687664,62.32924495,,180,,,180-
68.17484,142.9581,173.1640001,64.84478051,,170,,,170-
70.23972,137.4064,178.4087925,62.32656875,,180,,,180-
70.6554,143.3564,179.4646191,65.02544656,,180,,,180-
66.4574,122.5937,168.8017048,55.60763306,,170,,,170-
64.31855,119.3805,163.3690288,54.15014832,,160,,,160-
65.49751,110.3743,166.3635856,50.06499986,,170,,,170-
69.47428,139.4867,176.4645759,63.27017808,,180,,,180-
67.88158,125.4501,172.4191201,56.90327585,,170,,,170-
69.53913,124.3466,176.6292948,56.40273607,,180,,,180-
63.83987,92.65767,162.1531822,42.02886212,,160,,,160-
69.07601,123.9516,175.4529707,56.22356687,,180,,,180-
69.47709,126.9161,176.4717133,57.56824305,,180,,,180-
67.08504,121.9957,170.3959096,55.3363845,,170,,,170-
70.95488,139.7854,180.2252979,63.40566628,,180,,,180-
68.64084,123.2444,174.3476395,55.90278597,,170,,,170-
65.86462,113.0349,167.2960445,51.27182916,,170,,,170-
67.72662,119.5902,172.0255219,54.24526676,,170,,,170-
65.32212,102.5086,165.9180952,46.49717412,,170,,,170-
69.00392,128.9232,175.2698622,58.47864938,,180,,,180-
69.63523,132.2697,176.8733887,59.99659805,,180,,,180-
66.71665,128.5803,169.4601995,58.32311237,,170,,,170-
69.5893,127.2246,176.7567266,57.70817647,,180,,,180-
68.66987,120.1516,174.4213756,54.49991382,,170,,,170-
67.85418,113.5575,172.3495241,51.50887681,,170,,,170-
68.78852,120.1342,174.7227464,54.4920213,,170,,,170-
68.2002,134.9707,173.2284145,61.2217525,,170,,,170-
63.0824,109.7702,160.2292095,49.79098439,,160,,,160-
67.2833,122.8477,170.8994897,55.72284566,,170,,,170-
71.21834,131.494,180.8944859,59.64474603,,180,,,180-
71.01583,138.9013,180.3801108,63.00464479,,180,,,180-
69.88229,143.1039,177.5009207,64.91091435,,180,,,180-
67.19375,121.1828,170.6720328,54.96765883,,170,,,170-
68.76347,130.2964,174.6591195,59.10152316,,170,,,170-
66.83011,120.5375,169.7483877,54.67495532,,170,,,170-
70.56089,132.0461,179.2245638,59.89517468,,180,,,180-
69.67899,140.8938,176.984539,63.90842866,,180,,,180-
66.96319,122.3291,170.0864108,55.48761238,,170,,,170-
68.67573,115.6268,174.43626,52.44749662,,170,,,170-
66.39372,121.1097,168.6399577,54.93450118,,170,,,170-
69.81996,125.3109,177.3426026,56.84013571,,180,,,180-
68.00995,124.8272,172.7451797,56.62073282,,170,,,170-
66.95032,118.4744,170.053721,53.73914779,,170,,,170-
70.96239,144.0736,180.2443733,65.3507634,,180,,,180-
66.27024,126.7344,168.3263187,57.48582522,,170,,,170-
68.21726,115.0624,173.2717468,52.19148878,,170,,,170-
66.56206,112.4637,169.0675411,51.01273689,,170,,,170-
69.03964,137.6269,175.3605909,62.42658599,,180,,,180-
68.68271,131.7407,174.4539892,59.7566474,,170,,,170-
68.91258,115.3276,175.0378587,52.31178162,,180,,,180-
68.02805,123.1233,172.7911537,55.84785587,,170,,,170-
68.64452,111.4743,174.3569866,50.56395206,,170,,,170-
67.98404,120.7929,172.6793684,54.79080295,,170,,,170-
65.72168,123.0248,166.9329771,55.80317696,,170,,,170-
68.50899,125.2258,174.0127406,56.80153496,,170,,,170-
68.74484,118.5521,174.6117993,53.77439196,,170,,,170-
65.70055,121.1912,166.8793069,54.97146901,,170,,,170-
68.13231,126.9522,173.0559739,57.58461776,,170,,,170-
69.1712,102.8732,175.6947531,46.66255409,,180,,,180-
70.67886,122.3412,179.5242075,55.49310085,,180,,,180-
68.837,118.7874,174.8458856,53.88112237,,170,,,170-
69.60496,130.4536,176.7965029,59.17282797,,180,,,180-
67.41523,126.8208,171.2345917,57.52501565,,170,,,170-
71.4,154.97,181.3559021,70.29329318,,180,,,180-
69.57502,130.0883,176.7204554,59.00713048,,180,,,180-
69.04149,116.7796,175.3652899,52.97039853,,180,,,180-
68.5837,143.8448,174.2025039,65.24698134,,170,,,170-
66.89024,126.5347,169.9011179,57.39524272,,170,,,170-
67.12473,111.1866,170.4967221,50.43345338,,170,,,170-
67.83542,111.946,172.3018738,50.77791184,,170,,,170-
70.46759,138.7422,178.9875819,62.93247816,,180,,,180-
67.7864,142.7435,172.177363,64.74743947,,170,,,170-
69.58276,143.2414,176.740115,64.97328338,,180,,,180-
67.16684,125.1273,170.6036815,56.75685606,,170,,,170-
67.13791,108.6479,170.5301993,49.28191707,,170,,,170-
68.79915,132.8302,174.7497466,60.25083688,,170,,,170-
67.64203,127.7226,171.8106634,57.93406573,,170,,,170-
64.70508,111.3172,164.3508145,50.49269262,,160,,,160-
68.08348,133.8261,172.9319458,60.70257006,,170,,,170-
67.56671,124.2366,171.6193507,56.35284085,,170,,,170-
64.28754,102.4825,163.2902634,46.48533534,,160,,,160-
64.85395,111.9585,164.728944,50.78358175,,160,,,160-
73.24733,138.1346,186.0481177,62.65687511,,190,,,190-
64.89302,114.3071,164.8281818,51.84889006,,160,,,160-
67.43272,133.0682,171.2790163,60.35879199,,170,,,170-
65.7765,118.0115,167.0722198,53.52917963,,170,,,170-
70.7064,145.9957,179.594159,66.22261433,,180,,,180-
67.52445,125.9386,171.5120104,57.12485598,,170,,,170-
67.01528,116.8078,170.2187193,52.98318985,,170,,,170-
68.16565,113.8239,173.1406575,51.62971396,,170,,,170-
67.99779,149.3131,172.7142933,67.72736345,,170,,,170-
68.52996,110.5189,174.0660044,50.1305894,,170,,,170-
67.53327,120.1058,171.5344132,54.47913926,,170,,,170-
67.30047,123.1704,170.9431015,55.86922009,,170,,,170-
67.63847,134.5804,171.801621,61.04471519,,170,,,170-
68.52047,138.8459,174.0418998,62.97951574,,170,,,170-
68.03264,127.8527,172.8028123,57.99307817,,170,,,170-
67.28722,118.5444,170.9094465,53.77089929,,170,,,170-
68.42927,127.9474,173.8102519,58.03603342,,170,,,170-
69.7329,125.5398,177.1214704,56.94396313,,180,,,180-
69.72725,127.1998,177.1071194,57.69692736,,180,,,180-
69.73079,152.3984,177.116111,69.12683365,,180,,,180-
69.97947,137.3347,177.7477578,62.29404614,,180,,,180-
68.9122,119.5773,175.0368935,54.23941541,,180,,,180-
66.70355,122.2617,169.4269255,55.45704022,,170,,,170-
68.64652,136.3536,174.3620666,61.84902614,,170,,,170-
67.56584,136.2134,171.6171409,61.78543241,,170,,,170-
67.35146,123.6386,171.072616,56.08159229,,170,,,170-
66.98205,107.619,170.1343151,48.81521532,,170,,,170-
65.44633,135.5837,166.2335884,61.49980496,,170,,,170-
68.81325,129.6697,174.7855606,58.81725649,,170,,,170-
67.16659,107.8736,170.6030465,48.93070008,,170,,,170-
70.28813,150.9046,178.5317538,68.44925656,,180,,,180-
66.62449,139.4685,169.2261132,63.26192269,,170,,,170-
64.39542,115.1983,163.5642785,52.25313206,,160,,,160-
67.23695,112.4262,170.7817608,50.99572715,,170,,,170-
69.67397,156.7309,176.9717882,71.09202493,,180,,,180-
68.43681,127.8894,173.8294035,58.00972503,,170,,,170-
68.00999,131.2092,172.7452813,59.51556277,,170,,,170-
70.8081,135.2499,179.8524769,61.34839564,,180,,,180-
70.50871,122.7718,179.0920267,55.68841796,,180,,,180-
70.00808,117.6198,177.8204272,53.35150729,,180,,,180-
66.06797,101.461,167.8125532,46.02199018,,170,,,170-
67.87768,116.3499,172.4092141,52.77548965,,170,,,170-
69.36261,126.9441,176.1809343,57.58094365,,180,,,180-
69.29301,139.7644,176.0041504,63.39614083,,180,,,180-
67.3539,133.1416,171.0788136,60.39208571,,170,,,170-
66.1525,110.9469,168.0272593,50.32472716,,170,,,170-
67.47153,115.3734,171.3775937,52.33255618,,170,,,170-
68.56556,121.8413,174.1564284,55.26634976,,170,,,170-
72.40237,157.4235,183.9019205,71.40618338,,180,,,180-
67.28205,128.5724,170.8963147,58.31952899,,170,,,170-
65.7493,122.6496,167.0031318,55.63298891,,170,,,170-
65.90868,132.421,167.4079568,60.06522666,,170,,,170-
67.32651,133.7645,171.0092431,60.67462873,,170,,,170-
67.04617,112.1093,170.2971798,50.85198356,,170,,,170-
67.21086,122.6801,170.7154922,55.64682349,,170,,,170-
66.49245,109.2367,168.8907318,49.54899257,,170,,,170-
69.2678,122.5007,175.940117,55.56544892,,180,,,180-
70.07489,149.6391,177.9901245,67.87523473,,180,,,180-
69.74977,141.1522,177.1643201,64.02563707,,180,,,180-
66.75226,139.719,169.5506488,63.37554771,,170,,,170-
65.50834,114.5278,166.3910937,51.94899801,,170,,,170-
73.13491,127.8612,185.7625711,57.99693371,,190,,,190-
65.37072,125.7601,166.0415391,57.04388965,,170,,,170-
72.07311,142.2552,183.0656005,64.52595005,,180,,,180-
67.65702,120.8003,171.848738,54.79415954,,170,,,170-
71.13971,149.4626,180.6947658,67.79517559,,180,,,180-
69.56951,138.5706,176.70646,62.85464162,,180,,,180-
68.47465,116.2406,173.9255171,52.72591195,,170,,,170-
68.65104,135.3612,174.3735474,61.39888053,,170,,,170-
69.29567,146.4768,176.0109068,66.44083788,,180,,,180-
65.94966,131.8327,167.5120459,59.79837795,,170,,,170-
67.88775,137.3897,172.4347919,62.31899375,,170,,,170-
66.01091,107.5225,167.6676209,48.7714436,,170,,,170-
64.69531,124.1449,164.3259987,56.31124638,,160,,,160-
68.76234,111.5343,174.6562493,50.59116764,,170,,,170-
70.14278,129.6087,178.162565,58.78958732,,180,,,180-
65.29027,126.534,165.8371962,57.3949252,,170,,,170-
67.02973,130.5432,170.2554223,59.2134699,,170,,,170-
72.18645,153.9204,183.353484,69.81720206,,180,,,180-
68.32435,130.9603,173.5437553,59.4026635,,170,,,170-
65.37779,114.4,166.0594969,51.89102884,,170,,,170-
70.98789,126.8208,180.3091432,57.52501565,,180,,,180-
69.32981,125.881,176.0976223,57.09872903,,180,,,180-
68.08517,125.3363,172.9362384,56.85165697,,170,,,170-
67.72864,117.6713,172.0306527,53.37486732,,170,,,170-
69.41996,126.183,176.3266032,57.23571409,,180,,,180-
65.86211,112.0669,167.2896691,50.83275122,,170,,,170-
69.96526,151.6467,177.7116644,68.78586786,,180,,,180-
67.91088,124.1618,172.4935421,56.3189121,,170,,,170-
68.78786,130.6754,174.7210701,59.27343488,,170,,,170-
65.74585,119.2501,166.9943688,54.09099981,,170,,,170-
72.368,132.7354,183.8146207,60.20783627,,180,,,180-
68.18716,129.4416,173.1952929,58.71379195,,170,,,170-
69.84822,130.4897,177.414383,59.18920267,,180,,,180-
68.77683,132.0897,174.6930539,59.91495133,,170,,,170-
69.84154,117.5002,177.3974158,53.29725758,,180,,,180-
68.21258,108.6233,173.2598596,49.27075868,,170,,,170-
66.95108,127.1378,170.0556514,57.6688046,,170,,,170-
66.85975,122.3951,169.8236733,55.51754951,,170,,,170-
66.15618,118.9815,168.0366065,53.96916475,,170,,,170-
67.45204,125.2554,171.3280891,56.81496131,,170,,,170-
67.60013,121.8996,171.7042375,55.29279422,,170,,,170-
66.75233,120.7738,169.5508266,54.78213933,,170,,,170-
60.8634,106.1939,154.5929525,48.16880007,,150,,,150-
66.19796,107.8874,168.1427276,48.93695966,,170,,,170-
65.67776,122.0686,166.8214203,55.36945142,,170,,,170-
68.99828,117.3948,175.2555366,53.24944888,,180,,,180-
68.02827,140.866,172.7917125,63.89581878,,170,,,170-
70.31743,149.3078,178.6061758,67.7249594,,180,,,180-
64.89375,125.5845,164.830036,56.96423874,,160,,,160-
65.54201,131.28,166.4766155,59.54767715,,170,,,170-
68.67927,120.8432,174.4452516,54.81361867,,170,,,170-
66.50307,123.0181,168.9177066,55.80013789,,170,,,170-
67.06639,143.1561,170.3485386,64.9345919,,170,,,170-
68.34809,122.9334,173.6040549,55.76171857,,170,,,170-
67.7237,118.4002,172.0181051,53.7054912,,170,,,170-
71.2729,133.799,181.0330682,60.69027769,,180,,,180-
66.02325,115.9951,167.6989644,52.61455489,,170,,,170-
67.64412,117.6164,171.815972,53.34996507,,170,,,170-
70.5122,133.0952,179.1008913,60.371039,,180,,,180-
65.81299,111.2517,167.1649043,50.46298228,,170,,,170-
67.72994,134.9223,172.0339547,61.1997986,,170,,,170-
70.37065,142.7071,178.7413545,64.73092869,,180,,,180-
67.12868,128.8292,170.5067551,58.43601165,,170,,,170-
67.7056,126.9298,171.9721311,57.57445728,,170,,,170-
67.17205,115.2964,170.6169149,52.29762952,,170,,,170-
68.10555,136.4014,172.9880036,61.87070788,,170,,,170-
70.02968,139.6796,177.8752911,63.35767615,,180,,,180-
67.74365,132.6488,172.0687781,60.16855513,,170,,,170-
64.0239,131.5816,162.6206182,59.68448077,,160,,,160-
65.72062,109.6616,166.9302847,49.7417242,,170,,,170-
72.30502,138.1492,183.6546516,62.66349756,,180,,,180-
68.49538,132.5811,173.9781713,60.13784689,,170,,,170-
68.88875,126.3917,174.9773305,57.33037893,,170,,,170-
66.99923,133.9106,170.1779523,60.74089866,,170,,,170-
68.12136,137.1759,173.028161,62.22201559,,170,,,170-
69.35409,135.8339,176.1592935,61.6132939,,180,,,180-
65.94423,130.5612,167.4982538,59.22163457,,170,,,170-
69.1535,134.0018,175.6497951,60.78226633,,180,,,180-
68.9858,133.0763,175.2238374,60.36246609,,180,,,180-
66.5432,109.9605,169.0196367,49.87730312,,170,,,170-
67.00921,132.5041,170.2033015,60.10292023,,170,,,170-
71.09758,126.9142,180.5877557,57.56738123,,180,,,180-
68.07213,124.4069,172.9031168,56.43008772,,170,,,170-
69.49666,146.5182,176.5214211,66.45961662,,180,,,180-
70.21782,140.9199,178.3531665,63.92026744,,180,,,180-
67.58857,133.1095,171.6748751,60.37752538,,170,,,170-
67.57075,138.0985,171.6296123,62.6405004,,170,,,170-
69.42517,137.6923,176.3398366,62.45625096,,180,,,180-
68.28537,136.6422,173.4447461,61.97993305,,170,,,170-
69.72848,149.467,177.1102436,67.79717139,,180,,,180-
69.92365,138.0429,177.6059751,62.61528064,,180,,,180-
68.79953,113.512,174.7507118,51.48823834,,170,,,170-
69.09202,130.8401,175.493636,59.34814163,,180,,,180-
68.82166,125.858,174.806922,57.0882964,,170,,,170-
68.79217,113.7784,174.7320174,51.60907549,,170,,,170-
68.20921,118.9215,173.2512998,53.94194918,,170,,,170-
64.85301,114.4354,164.7265564,51.90708603,,160,,,160-
68.43265,123.9837,173.8188371,56.23812721,,170,,,170-
68.41712,135.6646,173.779391,61.53650062,,170,,,170-
68.48985,97.85054,173.9641251,44.38431113,,170,,,170-
67.77927,130.3916,172.1592528,59.14470521,,170,,,170-
66.72234,138.3614,169.4746521,62.75974998,,170,,,170-
66.17694,125.4018,168.0893368,56.88136731,,170,,,170-
68.07653,118.6076,172.9142928,53.79956637,,170,,,170-
68.39248,109.8622,173.7168054,49.83271494,,170,,,170-
66.36527,120.0788,168.5676948,54.46689225,,170,,,170-
62.87732,86.669,159.7083066,39.31244387,,160,,,160-
68.7832,142.6252,174.7092337,64.69377943,,170,,,170-
70.32779,135.5365,178.6324901,61.47839537,,180,,,180-
65.23714,130.1058,165.7022461,59.01506836,,170,,,170-
70.09673,141.5957,178.0455981,64.22680553,,180,,,180-
72.58203,125.2756,184.3582566,56.82412389,,180,,,180-
68.95451,131.6178,175.1443608,59.70090084,,180,,,180-
70.08286,129.0769,178.0103683,58.54836661,,180,,,180-
66.60565,108.4805,169.1782596,49.20598561,,170,,,170-
70.12381,139.1288,178.1143812,63.10783718,,180,,,180-
68.9783,145.3523,175.2047874,65.93077265,,180,,,180-
65.41373,125.9004,166.1507845,57.10752874,,170,,,170-
70.84046,126.4751,179.9346712,57.36820858,,180,,,180-
65.25996,119.209,165.7602089,54.07235714,,170,,,170-
67.59199,123.0037,171.6835619,55.79360615,,170,,,170-
69.34865,129.4727,176.1454759,58.72789869,,180,,,180-
69.39296,141.9344,176.2580232,64.38043745,,180,,,180-
63.75403,108.9765,161.9351488,49.4309677,,160,,,160-
67.96208,118.2419,172.62359,53.63368744,,170,,,170-
70.15448,141.4635,178.192283,64.16684054,,180,,,180-
70.04724,136.5986,177.9198935,61.9601564,,180,,,180-
66.06389,105.223,167.80219,47.72840671,,170,,,170-
71.07997,127.8639,180.5430263,57.99815841,,180,,,180-
66.6113,134.331,169.1926106,60.93158912,,170,,,170-
66.86237,140.5931,169.8303281,63.77203328,,170,,,170-
70.25969,127.8158,178.4595162,57.97634059,,180,,,180-
65.89945,110.9553,167.3845126,50.32853734,,170,,,170-
68.29227,112.17,173.4622721,50.87951665,,170,,,170-
64.95871,117.7368,164.9950343,53.40457766,,160,,,160-
67.1086,133.5058,170.455752,60.55728425,,170,,,170-
67.39014,119.9727,171.1708632,54.41876605,,170,,,170-
64.25871,115.9128,163.2170353,52.57722419,,160,,,160-
69.27316,131.0059,175.9537314,59.42334733,,180,,,180-
67.87387,121.2352,172.3995367,54.99142709,,170,,,170-
65.53554,121.5301,166.4601817,55.12519164,,170,,,170-
71.08776,130.4852,180.5628129,59.18716151,,180,,,180-
67.36554,127.386,171.1083792,57.78138636,,170,,,170-
65.41184,115.7506,166.1459839,52.50365142,,170,,,170-
68.03292,127.3987,172.8035235,57.78714699,,170,,,170-
66.72356,134.9064,169.4777509,61.19258648,,170,,,170-
68.02466,131.4015,172.7825431,59.60278869,,170,,,170-
67.36662,117.1467,171.1111224,53.13691248,,170,,,170-
68.93518,116.5689,175.0952626,52.8748265,,180,,,180-
68.578,127.307,174.1880259,57.74555252,,170,,,170-
64.74187,115.184,164.444261,52.24664568,,160,,,160-
66.2743,114.0988,168.3366311,51.75440666,,170,,,170-
69.71458,131.5924,177.0749376,59.68937958,,180,,,180-
68.54427,137.3566,174.1023518,62.30397982,,170,,,170-
71.35055,135.1059,181.2302991,61.28307826,,180,,,180-
67.21472,137.3314,170.7252966,62.29254928,,170,,,170-
65.09449,113.229,165.3399153,51.35987154,,170,,,170-
67.50111,111.4446,171.4527268,50.55048035,,170,,,170-
70.80356,138.282,179.8409453,62.7237347,,180,,,180-
66.74779,126.8547,169.539295,57.54039245,,170,,,170-
67.30525,135.6227,170.9552427,61.51749508,,170,,,170-
69.16712,128.8532,175.6843899,58.44689788,,180,,,180-
69.35292,139.9225,176.1563217,63.46785387,,180,,,180-
64.91373,101.2648,164.8807852,45.93299526,,160,,,160-
67.68617,132.6457,171.922779,60.16714899,,170,,,170-
69.23168,133.9763,175.8483722,60.77069971,,180,,,180-
67.53083,138.6939,171.5282156,62.91056962,,170,,,170-
73.47519,156.5556,186.6268818,71.01251009,,190,,,190-
68.0664,128.1673,172.8885626,58.1357785,,170,,,170-
65.82069,125.261,167.1844623,56.81750143,,170,,,170-
69.01169,132.9188,175.2895979,60.29102521,,180,,,180-
69.72285,134.5923,177.0959434,61.05011294,,180,,,180-
70.52947,114.1222,179.1447571,51.76502073,,180,,,180-
67.2635,114.8907,170.8491977,52.11360688,,170,,,170-
69.0027,132.8863,175.2667634,60.27628344,,180,,,180-
67.91407,133.1336,172.5016446,60.38845697,,170,,,170-
66.94962,137.487,170.051943,62.36312834,,170,,,170-
68.04101,118.2847,172.8240721,53.65310121,,170,,,170-
71.93262,133.1505,182.7087561,60.39612269,,180,,,180-
68.266,127.4658,173.3955464,57.81758308,,170,,,170-
67.22047,133.3136,170.7399016,60.47010369,,170,,,170-
70.82076,151.6654,179.8846333,68.79435005,,180,,,180-
67.97316,131.4318,172.6517332,59.61653255,,170,,,170-
67.86163,116.9394,172.3684471,53.04288267,,170,,,170-
66.75865,130.2682,169.5668794,59.08873184,,170,,,170-
68.68619,122.1336,174.4628284,55.39893496,,170,,,170-
68.55174,118.5602,174.1213256,53.77806606,,170,,,170-
70.64074,136.0448,179.4273827,61.70895665,,180,,,180-
64.54667,101.3587,163.9484533,45.97558763,,160,,,160-
70.20971,139.6653,178.3325671,63.35118977,,180,,,180-
65.24926,122.592,165.7330309,55.60686195,,170,,,170-
70.56077,142.8022,179.224259,64.77406537,,180,,,180-
70.2161,119.6591,178.3487977,54.27651931,,180,,,180-
69.26794,130.0904,175.9404726,59.00808303,,180,,,180-
68.71495,142.531,174.5358788,64.65105097,,170,,,170-
69.83226,150.4973,177.3738446,68.26450817,,180,,,180-
67.95044,125.4476,172.5940244,56.90214187,,170,,,170-
66.69106,132.6528,169.3952009,60.1703695,,170,,,170-
66.69388,109.0486,169.4023637,49.46367174,,170,,,170-
68.85787,108.4688,174.8988954,49.20067857,,170,,,170-
66.75904,113.7091,169.56787,51.5776415,,170,,,170-
69.47691,125.2285,176.4712561,56.80275966,,180,,,180-
69.16535,135.7451,175.6798941,61.57301485,,180,,,180-
66.17003,125.3914,168.0717854,56.87664994,,170,,,170-
65.52416,120.5974,166.4312765,54.70212554,,170,,,170-
65.51245,124.223,166.4015331,56.34667199,,170,,,170-
67.09453,131.6406,170.4200142,59.71124275,,170,,,170-
70.25624,130.8484,178.4507532,59.35190645,,180,,,180-
66.23165,123.4666,168.2283002,56.00357431,,170,,,170-
68.47727,125.3201,173.9321719,56.84430877,,170,,,170-
69.71255,135.4164,177.0697814,61.42391886,,180,,,180-
67.91161,135.2628,172.4953963,61.35424699,,170,,,170-
66.40266,127.9538,168.6626653,58.03893642,,170,,,170-
67.8244,117.6057,172.273883,53.34511163,,170,,,170-
66.18945,120.9807,168.1211122,54.8759877,,170,,,170-
67.43176,122.2844,171.2765779,55.46733677,,170,,,170-
69.20081,120.9584,175.7699625,54.86587258,,180,,,180-
66.10694,124.0101,167.9115369,56.25010206,,170,,,170-
65.78863,113.8094,167.10303,51.62313687,,170,,,170-
70.78459,145.5794,179.7927615,66.0337836,,180,,,180-
68.58712,124.2324,174.2111907,56.35093576,,170,,,170-
68.57242,106.2736,174.1738527,48.20495142,,170,,,170-
66.9078,114.6637,169.9457202,52.01064129,,170,,,170-
